Year,Class,Vacancy
2004,100 m2 to 159.9 m2,0.103
2005,100 m2 to 159.9 m2,0.09
2006,100 m2 to 159.9 m2,0.064
2007,100 m2 to 159.9 m2,0.075
2008,100 m2 to 159.9 m2,0.078
2009,100 m2 to 159.9 m2,0.096
2010,100 m2 to 159.9 m2,0.076
2011,100 m2 to 159.9 m2,0.092
2012,100 m2 to 159.9 m2,0.093
2013,100 m2 to 159.9 m2,0.089
2014,100 m2 to 159.9 m2,0.073
2015,100 m2 to 159.9 m2,0.075
2016,100 m2 to 159.9 m2,0.073
2017,100 m2 to 159.9 m2,0.086
2018,100 m2 to 159.9 m2,0.084
2019,100 m2 to 159.9 m2,0.058
2020,100 m2 to 159.9 m2,0.063
2021,100 m2 to 159.9 m2,0.074
2022,100 m2 to 159.9 m2,0.073
2023,100 m2 to 159.9 m2,0.08
2024,100 m2 to 159.9 m2,0.061
2025,100 m2 to 159.9 m2,0.067
1985,160 m2 or above,0.049
1986,160 m2 or above,0.068
1987,160 m2 or above,0.044
1988,160 m2 or above,0.067
1989,160 m2 or above,0.064
1990,160 m2 or above,0.065
1991,160 m2 or above,0.08
1992,160 m2 or above,0.045
1993,160 m2 or above,0.053
1994,160 m2 or above,0.025
1995,160 m2 or above,0.033
1996,160 m2 or above,0.042
1997,160 m2 or above,0.049
1998,160 m2 or above,0.084
1999,160 m2 or above,0.061
2000,160 m2 or above,0.061
2001,160 m2 or above,0.076
2002,160 m2 or above,0.103
2003,160 m2 or above,0.107
2004,160 m2 or above,0.106
2005,160 m2 or above,0.119
2006,160 m2 or above,0.131
2007,160 m2 or above,0.104
2008,160 m2 or above,0.111
2009,160 m2 or above,0.127
2010,160 m2 or above,0.129
2011,160 m2 or above,0.102
2012,160 m2 or above,0.141
2013,160 m2 or above,0.115
2014,160 m2 or above,0.094
2015,160 m2 or above,0.095
2016,160 m2 or above,0.14
2017,160 m2 or above,0.075
2018,160 m2 or above,0.126
2019,160 m2 or above,0.138
2020,160 m2 or above,0.1
2021,160 m2 or above,0.078
2022,160 m2 or above,0.098
2023,160 m2 or above,0.149
2024,160 m2 or above,0.126
2025,160 m2 or above,0.102
