地區,區域,屋苑,屋苑英文,落成年份,成交宗數,中位呎價,中位售價,最細面積,最大面積,細節連結
中西區,港島,高雅大廈,Goa Building,1981,2,12400,4155000,333,337,https://hk.centanet.com/findproperty/transaction-detail/高雅大廈_26070901680172
中西區,港島,帝景園,Dynasty Court,1991,2,43596,72150000,1513,1806,https://hk.centanet.com/findproperty/transaction-detail/帝景園_26070800700032
中西區,港島,Imperial Kennedy,Imperial Kennedy,2016,2,23975,19150000,622,990,https://hk.centanet.com/findproperty/transaction-detail/Imperial-Kennedy_26070802010233
中西區,港島,五福大廈,New Fortune House,1973,2,13967,7160000,495,525,https://hk.centanet.com/findproperty/transaction-detail/五福大廈_26070700630016
中西區,港島,匡景居,Dawning Height,2000,2,20048,8324000,351,498,https://hk.centanet.com/findproperty/transaction-detail/匡景居_26070701680089
中西區,港島,騰皇居 II,Tavistock II,1999,2,30530,39140000,1282,1282,https://hk.centanet.com/findproperty/transaction-detail/騰皇居-II_HOP202606S0811
中西區,港島,豪華大廈,Hoover Mansion,1964,2,13338,18100000,1357,1357,https://hk.centanet.com/findproperty/transaction-detail/豪華大廈_26070600570027
中西區,港島,輝煌臺,Fairview Height,1996,2,18634,6615000,355,355,https://hk.centanet.com/findproperty/transaction-detail/輝煌臺_26070600870023
中西區,港島,浚峯,The Hudson,2016,2,24156,12140000,464,547,https://hk.centanet.com/findproperty/transaction-detail/浚峯_26070201030053
中西區,港島,嘉景臺,Corona Tower,1990,2,15059,8640000,436,700,https://hk.centanet.com/findproperty/transaction-detail/嘉景臺_26063000220228
中西區,港島,均益大廈 2期,Kwan Yick Building Phase 2,1977,2,10866,4390000,404,404,https://hk.centanet.com/findproperty/transaction-detail/均益大廈-2期_26063000900342
中西區,港島,嘉咸街33號,33 Graham Street,1959,2,12142,5500000,453,453,https://hk.centanet.com/findproperty/transaction-detail/嘉咸街33號_26063002280194
中西區,港島,青蓮臺1-3號,1-3 Ching Lin Terrace,1979,1,10000,2600000,260,260,https://hk.centanet.com/findproperty/transaction-detail/青蓮臺1-3號_MR3202607S0247
中西區,港島,福熙苑,Floral Tower,1992,1,17674,6080000,344,344,https://hk.centanet.com/findproperty/transaction-detail/福熙苑_TGP202607S0217
中西區,港島,澤安閣,Chester Court,1987,1,14893,7268000,488,488,https://hk.centanet.com/findproperty/transaction-detail/澤安閣_26072300110038
中西區,港島,學林雅軒,Hilary Court,2001,1,18209,12000000,659,659,https://hk.centanet.com/findproperty/transaction-detail/學林雅軒_26072300230090
中西區,港島,恆輝大廈,Hang Fai Building,1972,1,10524,5220000,496,496,https://hk.centanet.com/findproperty/transaction-detail/恆輝大廈_26072300990047
中西區,港島,寶時大廈,Peace Tower,1980,1,16269,7500000,461,461,https://hk.centanet.com/findproperty/transaction-detail/寶時大廈_26072301100233
中西區,港島,藝里坊．1號,One．Artlane,2019,1,23938,6200000,259,259,https://hk.centanet.com/findproperty/transaction-detail/藝里坊．1號_26072301790010
中西區,港島,華冠大廈,Wah Koon Building,1978,1,14615,3800000,260,260,https://hk.centanet.com/findproperty/transaction-detail/華冠大廈_26072202020152
中西區,港島,尼斯花園,Nice Garden,1992,1,14544,7650000,526,526,https://hk.centanet.com/findproperty/transaction-detail/尼斯花園_26072202160018
中西區,港島,新安大樓,Sun On Building,1965,1,9045,3600000,398,398,https://hk.centanet.com/findproperty/transaction-detail/新安大樓_26072202230127
中西區,港島,吉喆,The Highline,2025,1,22653,6660000,294,294,https://hk.centanet.com/findproperty/transaction-detail/吉喆_SYA202607S0166
中西區,港島,鳳凰閣,Phoenix Court,1977,1,12240,11200000,915,915,https://hk.centanet.com/findproperty/transaction-detail/鳳凰閣_26072100330199
中西區,港島,殷樺花園,Blessings Garden,1995,1,18735,16000000,854,854,https://hk.centanet.com/findproperty/transaction-detail/殷樺花園_26072100400098
中西區,港島,文華大廈,Minerva House,1959,1,15056,14800000,983,983,https://hk.centanet.com/findproperty/transaction-detail/文華大廈_26072101410024
中西區,港島,金碧閣,Cimbria Court,1997,1,15964,10600000,664,664,https://hk.centanet.com/findproperty/transaction-detail/金碧閣_26072101660020
中西區,港島,金谷大廈,Golden Valley Mansion,1973,1,11620,7100000,611,611,https://hk.centanet.com/findproperty/transaction-detail/金谷大廈_26072101730019
中西區,港島,磅巷4號,4 Pound Lane,1975,1,9585,2310000,241,241,https://hk.centanet.com/findproperty/transaction-detail/磅巷4號_26072101790043
中西區,港島,萬林閣,Manifold Court,1980,1,13911,5300000,381,381,https://hk.centanet.com/findproperty/transaction-detail/萬林閣_26072102140661
中西區,港島,西園,Western Garden,1982,1,12527,5800000,463,463,https://hk.centanet.com/findproperty/transaction-detail/西園_26072000780027
中西區,港島,尚瓏,The Queens,2022,1,30070,12960000,431,431,https://hk.centanet.com/findproperty/transaction-detail/尚瓏_26072001200032
中西區,港島,聚賢逸居,Westview Height,2000,1,16602,4300000,259,259,https://hk.centanet.com/findproperty/transaction-detail/聚賢逸居_26072001380047
中西區,港島,翠荷苑,Jade Lotus Garden,1995,1,12364,4080000,330,330,https://hk.centanet.com/findproperty/transaction-detail/翠荷苑_26072001380068
中西區,港島,恆裕大廈,Hang (Han) Yu Building,1980,1,15282,2980000,195,195,https://hk.centanet.com/findproperty/transaction-detail/恆裕大廈_26072001380070
中西區,港島,南里壹號,One South Lane,2016,1,25755,5460000,212,212,https://hk.centanet.com/findproperty/transaction-detail/南里壹號_26072001680019
中西區,港島,蔚巒閣,Peaksville,1993,1,19632,12800000,652,652,https://hk.centanet.com/findproperty/transaction-detail/蔚巒閣_HRS4202607S0035
中西區,港島,西寧閣,Serene Court,1990,1,15081,5580000,370,370,https://hk.centanet.com/findproperty/transaction-detail/西寧閣_PB4202607S0087
中西區,港島,百輝大廈,Pak Fai Mansion,1960,1,12645,8700000,688,688,https://hk.centanet.com/findproperty/transaction-detail/百輝大廈_26071700310158
中西區,港島,大新閣,Sun Court,1979,1,15205,8880000,584,584,https://hk.centanet.com/findproperty/transaction-detail/大新閣_26071700570040
中西區,港島,裕豐花園,Richsun Garden,1999,1,16529,4000000,242,242,https://hk.centanet.com/findproperty/transaction-detail/裕豐花園_26071700790074
中西區,港島,曉山閣,Hill Court,1995,1,16201,5330000,329,329,https://hk.centanet.com/findproperty/transaction-detail/曉山閣_26071701240031
中西區,港島,青蓮閣,Ching Lin Court,1990,1,11111,3600000,324,324,https://hk.centanet.com/findproperty/transaction-detail/青蓮閣_26071701240101
中西區,港島,昭景大廈,Fairview Mansion,1971,1,18337,44100000,2405,2405,https://hk.centanet.com/findproperty/transaction-detail/昭景大廈_26071701340013
中西區,港島,俊陞華庭,Elite's Place,2003,1,17857,11000000,616,616,https://hk.centanet.com/findproperty/transaction-detail/俊陞華庭_26071701420132
中西區,港島,滿峰台,Monticello,1969,1,16234,20000000,1232,1232,https://hk.centanet.com/findproperty/transaction-detail/滿峰台_RE1202606S0940
中西區,港島,富裕大廈,Wealth Building,1978,1,12702,5500000,433,433,https://hk.centanet.com/findproperty/transaction-detail/富裕大廈_26071600120444
中西區,港島,高雲臺,Goldwin Heights,1994,1,17332,13900000,802,802,https://hk.centanet.com/findproperty/transaction-detail/高雲臺_26071600120503
中西區,港島,聯發新樓,Luen Fat Apartments,1966,1,9277,3980000,429,429,https://hk.centanet.com/findproperty/transaction-detail/聯發新樓_26071600141176
中西區,港島,華輝大廈,Wah Fai House,1977,1,11795,5060000,429,429,https://hk.centanet.com/findproperty/transaction-detail/華輝大廈_26071600670016
中西區,港島,萬和閣,Harmony Court,1994,1,13678,9000000,658,658,https://hk.centanet.com/findproperty/transaction-detail/萬和閣_26071600700013
中西區,港島,普頓臺,Princeton Tower,2003,1,18405,9000000,489,489,https://hk.centanet.com/findproperty/transaction-detail/普頓臺_26071601070030
中西區,港島,樂欣大廈,Ryan Mansion,1986,1,17017,4050000,238,238,https://hk.centanet.com/findproperty/transaction-detail/樂欣大廈_26071601080014
中西區,港島,高宏閣,Ko Wang Court,1985,1,14130,3900000,276,276,https://hk.centanet.com/findproperty/transaction-detail/高宏閣_26071601110263
中西區,港島,衛城閣,Windsor Court,1993,1,17297,4480000,259,259,https://hk.centanet.com/findproperty/transaction-detail/衛城閣_26071601430023
