Time,Class,Value
200606,70 m2 to 99.9 m2,3.79
200606,Less than 40 m2,5.26
200609,100 m2 to 159.9 m2,4.07
200609,160 m2 or above,3.18
200609,40 m2 to 69.9 m2,4.76
200609,70 m2 to 99.9 m2,4.26
200609,Less than 40 m2,5.86
200612,100 m2 to 159.9 m2,3.93
200612,160 m2 or above,3.38
200612,40 m2 to 69.9 m2,4.73
200612,70 m2 to 99.9 m2,4.11
200612,Less than 40 m2,5.86
200703,100 m2 to 159.9 m2,3.96
200703,160 m2 or above,3.23
200703,40 m2 to 69.9 m2,4.52
200703,70 m2 to 99.9 m2,4.14
200703,Less than 40 m2,5.39
200706,100 m2 to 159.9 m2,3.76
200706,160 m2 or above,3.48
200706,40 m2 to 69.9 m2,4.43
200706,70 m2 to 99.9 m2,4.03
200706,Less than 40 m2,5.25
200709,100 m2 to 159.9 m2,3.85
200709,160 m2 or above,3.26
200709,40 m2 to 69.9 m2,4.56
200709,70 m2 to 99.9 m2,4.02
200709,Less than 40 m2,5.61
200712,100 m2 to 159.9 m2,3.46
200712,160 m2 or above,2.77
200712,40 m2 to 69.9 m2,4.2
200712,70 m2 to 99.9 m2,3.66
200712,Less than 40 m2,5.03
200803,100 m2 to 159.9 m2,3.84
200803,160 m2 or above,3.0
200803,40 m2 to 69.9 m2,4.24
200803,70 m2 to 99.9 m2,3.76
200803,Less than 40 m2,4.72
200806,100 m2 to 159.9 m2,3.79
200806,160 m2 or above,3.1
200806,40 m2 to 69.9 m2,4.43
200806,70 m2 to 99.9 m2,4.13
200806,Less than 40 m2,4.95
200809,100 m2 to 159.9 m2,4.43
200809,160 m2 or above,3.84
200809,40 m2 to 69.9 m2,4.93
200809,70 m2 to 99.9 m2,4.51
200809,Less than 40 m2,5.76
200812,100 m2 to 159.9 m2,4.47
200812,160 m2 or above,3.59
200812,40 m2 to 69.9 m2,4.58
200812,70 m2 to 99.9 m2,4.2
200812,Less than 40 m2,5.41
200903,100 m2 to 159.9 m2,3.54
200903,160 m2 or above,3.35
200903,40 m2 to 69.9 m2,4.04
200903,70 m2 to 99.9 m2,3.66
200903,Less than 40 m2,5.02
200906,100 m2 to 159.9 m2,3.05
200906,160 m2 or above,2.52
200906,40 m2 to 69.9 m2,3.64
200906,70 m2 to 99.9 m2,3.26
200906,Less than 40 m2,4.47
200909,100 m2 to 159.9 m2,3.18
200909,160 m2 or above,2.76
200909,40 m2 to 69.9 m2,3.81
200909,70 m2 to 99.9 m2,3.34
200909,Less than 40 m2,4.52
200912,100 m2 to 159.9 m2,3.26
200912,160 m2 or above,2.63
200912,40 m2 to 69.9 m2,3.91
200912,70 m2 to 99.9 m2,3.4
200912,Less than 40 m2,4.46
201003,100 m2 to 159.9 m2,3.06
201003,160 m2 or above,2.79
201003,40 m2 to 69.9 m2,3.69
201003,70 m2 to 99.9 m2,3.22
201003,Less than 40 m2,4.19
201006,100 m2 to 159.9 m2,3.3
201006,160 m2 or above,2.94
201006,40 m2 to 69.9 m2,3.88
201006,70 m2 to 99.9 m2,3.53
201006,Less than 40 m2,4.32
201009,100 m2 to 159.9 m2,3.26
201009,160 m2 or above,2.47
201009,40 m2 to 69.9 m2,3.85
201009,70 m2 to 99.9 m2,3.43
201009,Less than 40 m2,4.47
201012,100 m2 to 159.9 m2,3.0
201012,160 m2 or above,2.76
201012,40 m2 to 69.9 m2,3.74
201012,70 m2 to 99.9 m2,3.21
201012,Less than 40 m2,4.24
201103,100 m2 to 159.9 m2,3.04
201103,160 m2 or above,2.71
201103,40 m2 to 69.9 m2,3.46
201103,70 m2 to 99.9 m2,3.04
201103,Less than 40 m2,3.84
201106,100 m2 to 159.9 m2,2.95
201106,160 m2 or above,2.21
201106,40 m2 to 69.9 m2,3.47
201106,70 m2 to 99.9 m2,2.99
201106,Less than 40 m2,3.86
201109,100 m2 to 159.9 m2,3.08
201109,160 m2 or above,2.94
201109,40 m2 to 69.9 m2,3.7
201109,70 m2 to 99.9 m2,3.23
201109,Less than 40 m2,4.34
201112,100 m2 to 159.9 m2,3.04
201112,160 m2 or above,3.08
201112,40 m2 to 69.9 m2,3.71
201112,70 m2 to 99.9 m2,3.17
201112,Less than 40 m2,4.18
201203,100 m2 to 159.9 m2,3.05
201203,160 m2 or above,2.81
201203,40 m2 to 69.9 m2,3.38
201203,70 m2 to 99.9 m2,2.99
201203,Less than 40 m2,3.77
201206,100 m2 to 159.9 m2,2.83
201206,160 m2 or above,2.75
201206,40 m2 to 69.9 m2,3.27
201206,70 m2 to 99.9 m2,2.96
201206,Less than 40 m2,3.69
201209,100 m2 to 159.9 m2,2.77
201209,160 m2 or above,2.53
201209,40 m2 to 69.9 m2,2.99
201209,70 m2 to 99.9 m2,2.82
201209,Less than 40 m2,3.37
201212,100 m2 to 159.9 m2,2.84
201212,160 m2 or above,2.58
201212,40 m2 to 69.9 m2,3.0
201212,70 m2 to 99.9 m2,2.79
201212,Less than 40 m2,3.33
201303,100 m2 to 159.9 m2,2.8
201303,160 m2 or above,2.51
201303,40 m2 to 69.9 m2,2.89
201303,70 m2 to 99.9 m2,2.65
201303,Less than 40 m2,3.2
201306,100 m2 to 159.9 m2,2.84
201306,160 m2 or above,2.87
201306,40 m2 to 69.9 m2,2.91
201306,70 m2 to 99.9 m2,2.68
201306,Less than 40 m2,3.17
201309,100 m2 to 159.9 m2,2.96
201309,160 m2 or above,2.62
